Date,"Eleanor Schonell Bridge, St Lucia Cyclist","Eleanor Schonell Bridge, St Lucia Pedestrian","Jack Pesch Bridge, Indooroopilly Pedestrian","Jack Pesch Bridge, Indooroopilly Cyclist"
"Thu, 22 12 22",139,1780,696,595
"Fri, 23 12 22",126,1442,625,687
"Sat, 24 12 22",133,1132,536,617
"Sun, 25 12 22",59.5,713,314,290
"Mon, 26 12 22",100,977,510,380
"Tue, 27 12 22",123.5,1145,501,410
"Wed, 28 12 22",129,1264,588,550
"Thu, 29 12 22",101,1212,515,486
"Fri, 30 12 22",73,913,387,430
"Sat, 31 12 22",80,1090,430,431
